N,estimator,d1_obs_chi,d1_exp_chi,d1_perc_bias,d1_perc_reject,d2_obs_chi,d2_exp_chi,d2_perc_bias,d2_perc_reject,d3_obs_chi,d3_exp_chi,d3_perc_bias,d3_perc_reject
100,ML,25.01,24,4,5.5,29.35,24,22,20,33.54,24,40,30
100,SB,25.87,24,8,7.5,26.06,24,9,8.5,27.26,24,14,13
100,ADF,36.44,24,52,43,38.04,24,59,49,44.82,24,87,68
200,ML,24.78,24,3,6.5,30.15,24,26,25,34.4,24,43,36
200,SB,25.22,24,5,8.5,25.44,24,6,8,25.8,24,8,6.5
200,ADF,29.19,24,22,19,29.27,24,22,19,31.29,24,30,25
500,ML,23.94,24,0,3.5,31.26,24,30,24,35.55,24,48,40
500,SB,24.1,24,0,5,25.44,24,6,6.9,24.85,24,4,8.5
500,ADF,25.92,24,8,11,26.42,24,10,6.7,26.83,24,12,8.5
1000,ML,25.05,24,4,7,30.78,24,28,24,37.4,24,56,48
1000,SB,25.16,24,5,8,24.77,24,3,7.5,25.01,24,4,7
1000,ADF,25.79,24,7,9.5,25.36,24,6,7.5,25.47,24,6,7.2
